origin_city_name,dest_city_name,n,distance_km,duration_min,duration_mean,duration_max,price_mean
"Paris, Île-de-France, France","Valence, Auvergne-Rhône-Alpes, France",110,476.7244366968269,2.7333333333333334,7.995151515151515,32.0,60.08545454545454
"Avignon, Provence-Alpes-Côte d'Azur, France","Paris, Île-de-France, France",110,575.7919788300785,3.75,8.665151515151514,33.416666666666664,86.18363636363637
"Paris, Île-de-France, France","Besançon, Bourgogne-Franche-Comté, France",109,326.37059726951,2.7,6.10045871559633,25.283333333333335,53.21834862385321
"Paris, Île-de-France, France","La Rochelle, Nouvelle-Aquitaine, France",109,398.50442620975986,4.166666666666667,9.795107033639145,29.416666666666668,35.35871559633028
"Lyon, Auvergne-Rhône-Alpes, France","Clermont-Ferrand, Auvergne-Rhône-Alpes, France",107,136.0015364087268,1.6666666666666667,3.168691588785047,26.0,16.351401869158877
"Antwerpen, Vlaanderen, Belgique","Paris, Île-de-France, France",107,301.62307405941647,3.1666666666666665,4.494548286604362,27.916666666666668,25.017757009345797
"Agen, Nouvelle-Aquitaine, France","Toulouse, Occitanie, France",104,91.45722521082774,1.0,1.336698717948718,4.183333333333334,8.65576923076923
"Paris, Île-de-France, France","Dole Choisey, Bourgogne-Franche-Comté, France",104,304.0153823404064,2.1666666666666665,7.59198717948718,30.0,46.94519230769231
"Nantes, Pays-de-la-Loire, France","Rennes, Bretagne, France",101,93.47427158496284,1.0,2.1113861386138613,29.666666666666668,8.092079207920792
"Bordeaux, Nouvelle-Aquitaine, France","Bayonne, Nouvelle-Aquitaine, France",99,165.48794171661163,1.6666666666666667,2.5164983164983163,21.45,14.21010101010101
"Paris, Île-de-France, France","Dijon, Bourgogne-Franche-Comté, France",99,261.1219358368659,2.8333333333333335,4.4326599326599325,19.416666666666668,26.742424242424242
"Lyon, Auvergne-Rhône-Alpes, France","Avignon, Provence-Alpes-Côte d'Azur, France",98,201.45020986903296,2.0,4.156462585034014,22.333333333333332,16.680612244897958
"Paris, Île-de-France, France","Clermont-Ferrand, Auvergne-Rhône-Alpes, France",96,346.5322575159336,3.6666666666666665,7.429513888888889,29.166666666666668,34.981249999999996
